num_nodes,k,sigma_sq,scales
400,0,11.249999999999998,1.0,1.4807680083012114,1.9428456599698911,3.8688839740886878,27.158722088858863,48.867672952558749,0.99309393259974643,0.19921791506452774,26.913260550496272
input_snrs (dB)
-0.088879055933691692,3.4459063928069829,5.5618157652509925,11.631654989099424,28.623483446237262,34.034511230525837,-0.13787664871228833,-13.995821880792734,28.472479899646352
snapshots,penalty_f,gamma_mult,rho_mult,penalty_param,average SNR,SNR per snapshot
1,L1,0.5,0.7611,0,12.750400000000001,12.750400000000001
1,L1,0.5,0.76300000000000001,0,12.7501,12.7501
1,SCAD-L1,0.5,0.77969999999999995,3.7,17.152799999999999,17.152799999999999
1,SCAD-L1,0.5,0.77969999999999995,3.7,17.153500000000001,17.153500000000001
1,MCP-L1,0.5,0.3367,1.4,21.9741,21.9741
1,MCP-L1,0.5,0.33429999999999999,1.4,22.007100000000001,22.007100000000001
2,L1,0.5,0.050599999999999999,0,14.8056,15.0642,14.547000000000001
2,L1,0.5,0.058599999999999999,0,14.1663,12.7464,15.5861
2,SCAD-L1,0.5,1.1447000000000001,3.7,23.8553,22.2181,25.4925
2,SCAD-L1,0.5,0.95420000000000005,3.7,21.1233,16.934699999999999,25.311800000000002
2,MCP-L1,0.5,0.43509999999999999,1.4,23.750699999999998,22.162199999999999,25.339200000000002
2,MCP-L1,0.5,0.35449999999999998,1.4,23.318300000000001,21.978200000000001,24.658300000000001
3,L1,0.5,0.45760000000000001,0,16.598700000000001,17.011800000000001,16.4665,16.317900000000002
3,L1,0.5,0.98799999999999999,0,15.4916,12.7308,15.568899999999999,18.175000000000001
3,SCAD-L1,0.5,1.5465,3.7,28.020600000000002,22.360399999999998,25.728400000000001,35.972799999999999
3,SCAD-L1,0.5,1.0744,3.7,25.821999999999999,16.8628,25.374300000000002,35.228999999999999
3,MCP-L1,0.5,0.58020000000000005,1.4,27.676300000000001,22.0946,25.293299999999999,35.641100000000002
3,MCP-L1,0.5,0.34389999999999998,1.4,25.541,21.963999999999999,24.488499999999998,30.1706
